Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Sup. Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOBValueUSD,Total tax (ETB),Total tax (USD)
2017,12,3052 505,42050000,"Articles of leather orof composition leather, nes",Germany,17,UN,1.00 ,1,605.54,25,0,0
2017,12,3052 505,42033000,#NAME?,Germany,4,UN,1.00 ,1,"1,424.77",58.83,0,0
2017,12,1000 100,42029990,#NAME?,United States,78,UN,1.50 ,1,"2,570.01",106.12,0,0
2017,8,1000 100,42023190,#NAME?,Canada,10,UN,2.00 ,1,"3,290.46",135.87,0,0
2017,12,3052 505,42023190,#NAME?,Germany,15,UN,1.00 ,1,"1,068.74",44.13,0,0
2017,5,1000 100,39269090,#NAME?,Russian Federation,,,1.00 ,1,253.81,10.48,0,0
2017,1,1000 100,21012000,#NAME?,United States,,,3.00 ,1,268.74,11.1,0,0
2017,9,1000 100,9012100,"Roasted coffee, not decaffeinated",Switzerland,,,1.20 ,1,"1,178.10",48.65,0,0
2017,11,1000 100,9012100,"Roasted coffee, not decaffeinated",Australia,,,1.30 ,1,"1,365.70",56.39,0,0
2017,9,1000 100,5100090,"--- OTHER AMBERGIS , CASTOREN ,CIVET AND MUSK;CANTHARIDES;BILE ...GLANDS",France,,,1.00 ,1,"50,546.49",2087.24,0,0
2017,8,1000 100,44151000,"-Cases, boxes, crates, drums and similar packings; cable-drums",United States,1,UN,1.20 ,1.1,229.45,9.47,0,0
2017,10,1000 100,5119990,"---OTHER ANIMAL PRODUCTS ,DEAD ANIMAL OF CHAP .1",Hong Kong,,,1.50 ,1.1,"259,990.50",10735.91,0,0
2017,6,1000 100,71031000,#NAME?,Sri Lanka,,,1.48 ,1.12,"336,902.30",13911.87,0,0
2017,6,1000 100,71031000,#NAME?,Singapore,,,1.58 ,1.16,"465,259.01",19212.16,0,0
2017,2,1000 100,71101900,#NAME?,Turkey,,,1.36 ,1.2,"354,627.16",14643.79,0,0
2017,7,1000 100,15162090,"--- OTHER NON-EDIBLE VEGETABLE FATS AND OILS ... HYDROGENATED,ETC",United Kingdom,,,4.00 ,1.2,"3,046.34",125.79,0,0
2017,12,1000 100,5119990,"---OTHER ANIMAL PRODUCTS ,DEAD ANIMAL OF CHAP .1",Hong Kong,,,1.60 ,1.2,"329,389.20",13601.63,0,0
2017,11,1000 100,9012100,"Roasted coffee, not decaffeinated",France,,,1.32 ,1.25,"1,772.13",73.18,0,0
2017,6,1000 100,71031000,#NAME?,Zambia,,,2.80 ,1.4,"390,906.28",16141.88,0,0
2017,10,1000 100,71031000,#NAME?,"Korea, Republic of",,,1.60 ,1.4,"57,132.39",2359.2,0,0
2017,7,1000 100,62149000,"SHAWLS, SCARVES, MUFFLERS, MANTILLAS, VEILS, ETC, OF OTHER TEXTILES MATERIALS",South Africa,14,UN,2.40 ,1.4,"6,111.98",252.38,0,0
2017,9,1000 100,71132000,Articles of jewellery... of base metal clad with precious metal,United Kingdom,,,1.58 ,1.46,"9,438.84",389.76,0,0
2017,11,1000 100,71031000,#NAME?,Switzerland,,,1.80 ,1.49,"342,756.72",14153.62,0,0
2017,11,1000 100,71031000,#NAME?,Germany,,,2.00 ,1.5,"147,976.20",6110.45,0,0
2017,10,3052 505,42033000,#NAME?,Israel,1,UN,1.60 ,1.5,"1,177.19",48.61,0,0
2017,7,1000 100,71031000,#NAME?,France,,,2.00 ,1.54,"288,471.56",11911.99,0,0
2017,11,1000 100,71031000,#NAME?,Thailand,,,2.70 ,1.62,"825,688.26",34095.54,0,0
2017,3,1000 100,5119990,"---OTHER ANIMAL PRODUCTS ,DEAD ANIMAL OF CHAP .1",Hong Kong,,,2.82 ,1.66,"379,670.17",15677.9,0,0
2017,10,3052 505,42023190,#NAME?,Israel,2,UN,2.00 ,1.72,"2,354.38",97.22,0,0
2017,11,1000 100,71031000,#NAME?,United Arab Emirates,,,2.37 ,1.78,"474,971.53",19613.23,0,0
2017,8,1000 100,71179090,#NAME?,Canada,,,2.00 ,1.8,"12,914.55",533.29,0,0
2017,8,1000 100,71179010,---IMITATION JEWELERY ;HAND MADE;NES,France,,,2.00 ,1.85,"16,041.14",662.39,0,0
2017,10,3052 505,71179090,#NAME?,Canada,,,2.25 ,1.95,"26,724.04",1103.53,0,0
2017,10,1000 100,73239400,"Table, kitchen or household articles... of iron or steel, enamelled",Germany,10,UN,3.00 ,2,236.35,9.76,0,0
2017,8,1000 100,71171910,--- IMITATION JEWELLERY WETHER OR NOT PLATED WITH PRECIOUS METAL;HAND MADE,United Arab Emirates,,,3.00 ,2,451.15,18.63,0,0
2017,8,1000 100,71031000,#NAME?,Zambia,,,2.30 ,2,"374,982.40",15484.33,0,0
2017,11,1000 100,64029900,#NAME?,United States,9,2UN,3.00 ,2,"3,694.78",152.57,0,0
2017,10,1000 100,62044900,#NAME?,Norway,20,UN,3.00 ,2,"10,234.40",422.61,0,0
2017,4,1000 100,44201010,#NAME?,Australia,,,2.00 ,2,"1,837.48",75.88,0,0
2017,5,1000 100,42022110,#NAME?,Russian Federation,2,UN,2.00 ,2,507.61,20.96,0,0
2017,7,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Finland,,,3.00 ,2,"2,256.95",93.2,0,0
2017,11,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Japan,,,2.00 ,2,"4,635.72",191.42,0,0
2017,2,1000 100,19059020,#NAME?,Germany,,,3.00 ,2,121.15,5,0,0
2017,11,1000 100,19042000,PREPARED FOODS OBTNED FROM UNROASTED CEREAL FLAKES/MIXTURES UNROASTED/RSTD,Germany,,,3.00 ,2,254.07,10.49,0,0
2017,12,1000 100,12074090,#NAME?,Germany,,,3.00 ,2,193.93,8.01,0,0
2017,1,1000 100,11061000,"Flour, meal and powder of the dried leguminous vegetables of 0713",India,,,4.00 ,2,324.26,13.39,0,0
2017,11,1000 100,9109900,"Other spices, nes",Germany,,,3.00 ,2,381.1,15.74,0,0
2017,11,1000 100,9083100,#NAME?,Germany,,,3.00 ,2,"1,016.27",41.97,0,0
2017,1,1000 100,9041200,"Pepper, crushed or ground",India,,,4.00 ,2,567.69,23.44,0,0
2017,1,1000 100,9022000,"Green tea,whether or not flavoured, nes",United States,,,4.00 ,2,285.4,11.79,0,0
2017,8,1000 100,9012200,"Roasted, decaffeinated coffee",Germany,,,3.00 ,2,277.01,11.44,0,0
2017,9,1000 100,7092000,"Asparagus, fresh or chilled",Djibouti,,,5.00 ,2,669.24,27.64,0,0
2017,2,1000 100,5119990,"---OTHER ANIMAL PRODUCTS ,DEAD ANIMAL OF CHAP .1",Hong Kong,,,3.80 ,2,"459,473.90",18973.27,0,0
